"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2013","Norte","RO","1100015",55.2,20.7,24.1,0,0,0
"2013","Norte","RO","1100015",25,50,25,0,0,0
"2013","Norte","RO","1100015",60,16,24,0,0,0
"2013","Norte","RO","1100023",18.5,11.1,29.6,7.4,22.2,11.2
"2013","Norte","RO","1100023",26.3,15.8,21.1,10.5,21.1,5.2
"2013","Norte","RO","1100023",0,0,50,0,25,25
"2013","Norte","RO","1100031",75,0,25,0,0,0
"2013","Norte","RO","1100031",75,0,25,0,0,0
"2013","Norte","RO","1100049",0,66.7,33.3,0,0,0
"2013","Norte","RO","1100049",0,76.9,23.1,0,0,0
"2013","Norte","RO","1100049",0,54.5,45.5,0,0,0
"2013","Norte","RO","1100056",12.5,62.5,25,0,0,0
"2013","Norte","RO","1100056",16.7,50,33.3,0,0,0
"2013","Norte","RO","1100056",0,100,0,0,0,0
"2013","Norte","RO","1100064",0,85.7,14.3,0,0,0
"2013","Norte","RO","1100064",0,50,50,0,0,0
"2013","Norte","RO","1100064",0,100,0,0,0,0
"2013","Norte","RO","1100072",0,25,75,0,0,0
"2013","Norte","RO","1100072",0,0,100,0,0,0
"2013","Norte","RO","1100072",0,33.3,66.7,0,0,0
"2013","Norte","RO","1100080",36.4,54.5,9.1,0,0,0
"2013","Norte","RO","1100080",0,100,0,0,0,0
"2013","Norte","RO","1100080",57.1,28.6,14.3,0,0,0
"2013","Norte","RO","1100098",18.2,27.3,54.5,0,0,0
"2013","Norte","RO","1100098",0,40,60,0,0,0
"2013","Norte","RO","1100098",33.3,16.7,50,0,0,0
"2013","Norte","RO","1100106",45,15,35,0,5,0
"2013","Norte","RO","1100106",10,20,60,0,10,0
"2013","Norte","RO","1100106",80,10,10,0,0,0
"2013","Norte","RO","1100114",8.7,30.4,39.1,4.3,13,4.5
"2013","Norte","RO","1100114",0,50,16.7,8.3,25,0
"2013","Norte","RO","1100114",18.2,9.1,63.6,0,0,9.1
"2013","Norte","RO","1100122",3.7,55.6,29.6,0,11.1,0
"2013","Norte","RO","1100122",0,82.4,0,0,17.6,0
"2013","Norte","RO","1100122",10,10,80,0,0,0
"2013","Norte","RO","1100130",44.8,13.8,24.1,13.8,3.4,0.1
"2013","Norte","RO","1100130",0,25,75,0,0,0
"2013","Norte","RO","1100130",52,12,16,16,4,0
"2013","Norte","RO","1100148",58.8,17.6,23.5,0,0,0.1
"2013","Norte","RO","1100148",0,66.7,33.3,0,0,0
"2013","Norte","RO","1100148",71.4,7.1,21.4,0,0,0.1
"2013","Norte","RO","1100155",0,46.2,30.8,0,15.4,7.6
"2013","Norte","RO","1100155",0,60,10,0,20,10
"2013","Norte","RO","1100155",0,0,100,0,0,0
"2013","Norte","RO","1100189",35.3,35.3,23.5,0,5.9,0
"2013","Norte","RO","1100189",12.5,50,25,0,12.5,0
"2013","Norte","RO","1100189",55.6,22.2,22.2,0,0,0
"2013","Norte","RO","1100205",32.1,28.6,15,1.4,18.6,4.3
"2013","Norte","RO","1100205",1.5,47.8,19.4,0,28.4,2.9
"2013","Norte","RO","1100205",60.3,11,11,2.7,9.6,5.4
"2013","Norte","RO","1100254",20,20,60,0,0,0
"2013","Norte","RO","1100254",0,66.7,33.3,0,0,0
"2013","Norte","RO","1100254",28.6,0,71.4,0,0,0
"2013","Norte","RO","1100262",0,50,0,0,50,0
"2013","Norte","RO","1100262",0,50,0,0,50,0
"2013","Norte","RO","1100288",0,44.4,44.4,0,11.1,0.1
"2013","Norte","RO","1100288",0,57.1,28.6,0,14.3,0
"2013","Norte","RO","1100288",0,0,100,0,0,0
"2013","Norte","RO","1100296",40,40,20,0,0,0
"2013","Norte","RO","1100296",33.3,33.3,33.3,0,0,0.1
"2013","Norte","RO","1100296",50,50,0,0,0,0
"2013","Norte","RO","1100304",16.7,37.5,20.8,4.2,12.5,8.3
"2013","Norte","RO","1100304",0,44.4,22.2,5.6,16.7,11.1
"2013","Norte","RO","1100304",66.7,16.7,16.6,0,0,0
"2013","Norte","RO","1100320",15.4,0,76.9,0,7.7,0
"2013","Norte","RO","1100320",33.3,0,33.3,0,33.3,0.1
"2013","Norte","RO","1100320",10,0,90,0,0,0
"2013","Norte","RO","1100338",80.6,12.9,3.2,0,1.6,1.7
"2013","Norte","RO","1100338",20,60,0,0,20,0
"2013","Norte","RO","1100338",86,8.8,3.5,0,0,1.7
"2013","Norte","RO","1100346",27.3,9.1,63.6,0,0,0
"2013","Norte","RO","1100346",42.9,14.3,42.8,0,0,0
"2013","Norte","RO","1100346",0,0,100,0,0,0
"2013","Norte","RO","1100379",11.1,22.2,55.6,0,11.1,0
"2013","Norte","RO","1100379",0,66.7,0,0,33.3,0
"2013","Norte","RO","1100379",16.7,0,83.3,0,0,0
"2013","Norte","RO","1100403",28.6,14.3,50,0,0,7.1
"2013","Norte","RO","1100403",0,33.3,33.3,0,0,33.4
"2013","Norte","RO","1100403",36.4,9.1,54.5,0,0,0
"2013","Norte","RO","1100452",73.2,12.2,12.2,0,0,2.4
"2013","Norte","RO","1100452",0,40,40,0,0,20
"2013","Norte","RO","1100452",83.3,8.3,8.3,0,0,0.1
"2013","Norte","RO","1100502",33.3,33.3,16.7,16.7,0,0
"2013","Norte","RO","1100502",20,40,20,20,0,0
"2013","Norte","RO","1100502",100,0,0,0,0,0
"2013","Norte","RO","1100601",20,20,0,40,20,0
"2013","Norte","RO","1100601",0,50,0,0,50,0
"2013","Norte","RO","1100601",33.3,0,0,66.7,0,0
"2013","Norte","RO","1100700",30,30,30,0,0,10
"2013","Norte","RO","1100700",0,50,0,0,0,50
"2013","Norte","RO","1100700",37.5,25,37.5,0,0,0
"2013","Norte","RO","1100809",21.4,57.1,7.1,0,7.1,7.3
"2013","Norte","RO","1100809",0,85.7,0,0,0,14.3
"2013","Norte","RO","1100809",42.9,28.6,14.3,0,14.2,0
"2013","Norte","RO","1100908",0,0,50,50,0,0
"2013","Norte","RO","1100908",0,0,50,50,0,0
"2013","Norte","RO","1100924",50,0,16.7,25,8.3,0
"2013","Norte","RO","1100924",50,0,0,0,50,0
"2013","Norte","RO","1100924",50,0,20,30,0,0
"2013","Norte","RO","1100940",0,33.3,50,0,0,16.7
"2013","Norte","RO","1100940",0,66.7,0,0,0,33.3
"2013","Norte","RO","1100940",0,0,100,0,0,0
"2013","Norte","RO","1101005",10,30,60,0,0,0
"2013","Norte","RO","1101005",0,66.7,33.3,0,0,0
"2013","Norte","RO","1101005",14.3,14.3,71.4,0,0,0
"2013","Norte","RO","1101104",42.9,28.6,14.3,0,14.2,0
"2013","Norte","RO","1101104",0,50,25,0,25,0
"2013","Norte","RO","1101104",100,0,0,0,0,0
"2013","Norte","RO","1101203",16.7,16.7,50,0,16.6,0
"2013","Norte","RO","1101203",33.3,0,33.3,0,33.3,0.1
"2013","Norte","RO","1101203",0,33.3,66.7,0,0,0
"2013","Norte","RO","1101302",42.9,0,42.9,0,14.2,0
"2013","Norte","RO","1101302",33.3,0,33.3,0,33.3,0.1
"2013","Norte","RO","1101302",50,0,50,0,0,0
"2013","Norte","RO","1101401",0,14.3,71.4,0,14.3,0
"2013","Norte","RO","1101401",0,33.3,33.3,0,33.3,0.1
"2013","Norte","RO","1101401",0,0,100,0,0,0
"2013","Norte","RO","1101435",0,0,75,0,25,0
"2013","Norte","RO","1101435",0,0,50,0,50,0
"2013","Norte","RO","1101435",0,0,100,0,0,0
"2013","Norte","RO","1101450",33.3,0,33.3,33.3,0,0.1
"2013","Norte","RO","1101450",0,0,0,100,0,0
"2013","Norte","RO","1101450",50,0,50,0,0,0
"2013","Norte","RO","1101468",0,100,0,0,0,0
"2013","Norte","RO","1101468",0,100,0,0,0,0
"2013","Norte","RO","1101476",66.7,33.3,0,0,0,0
"2013","Norte","RO","1101476",50,50,0,0,0,0
"2013","Norte","RO","1101476",100,0,0,0,0,0
"2013","Norte","RO","1101484",0,0,50,50,0,0
"2013","Norte","RO","1101484",0,0,50,50,0,0
"2013","Norte","RO","1101492",33.3,0,55.6,0,0,11.1
"2013","Norte","RO","1101492",33.3,0,33.3,0,0,33.4
"2013","Norte","RO","1101492",33.3,0,66.7,0,0,0
"2013","Norte","RO","1101500",0,0,16.7,0,66.7,16.6
"2013","Norte","RO","1101500",0,0,0,0,100,0
"2013","Norte","RO","1101500",0,0,20,0,60,20
"2013","Norte","RO","1101559",0,40,40,0,20,0
"2013","Norte","RO","1101559",0,66.7,0,0,33.3,0
"2013","Norte","RO","1101559",0,0,100,0,0,0
"2013","Norte","RO","1101609",0,22.2,55.6,22.2,0,0
"2013","Norte","RO","1101609",0,66.7,0,33.3,0,0
"2013","Norte","RO","1101609",0,0,83.3,16.7,0,0
"2013","Norte","RO","1101708",12.5,25,62.5,0,0,0
"2013","Norte","RO","1101708",0,50,50,0,0,0
"2013","Norte","RO","1101708",16.7,16.7,66.6,0,0,0
"2013","Norte","RO","1101757",0,62.5,25,0,12.5,0
"2013","Norte","RO","1101757",0,50,0,0,50,0
"2013","Norte","RO","1101757",0,66.7,33.3,0,0,0
"2013","Norte","RO","1101807",42.9,14.3,28.6,0,14.2,0
"2013","Norte","RO","1101807",0,33.3,33.3,0,33.3,0.1
"2013","Norte","RO","1101807",75,0,25,0,0,0
"2013","Norte","AC","1200013",8.3,66.7,16.7,0,8.3,0
"2013","Norte","AC","1200013",0,66.7,0,0,33.3,0
"2013","Norte","AC","1200013",11.1,66.7,22.2,0,0,0
"2013","Norte","AC","1200054",84.8,6.1,3,0,6.1,0
"2013","Norte","AC","1200054",0,33.3,0,0,66.7,0
"2013","Norte","AC","1200054",93.3,3.3,3.3,0,0,0.1
"2013","Norte","AC","1200104",38.1,27,22.2,11.1,1.6,0
"2013","Norte","AC","1200104",14.3,85.7,0,0,0,0
"2013","Norte","AC","1200104",41.1,19.6,25,12.5,1.8,0
"2013","Norte","AC","1200138",66.7,13.3,0,6.7,6.7,6.6
"2013","Norte","AC","1200138",0,66.7,0,0,33.3,0
"2013","Norte","AC","1200138",83.3,0,0,8.3,0,8.4
"2013","Norte","AC","1200179",47.1,23.5,11.8,5.9,11.7,0
"2013","Norte","AC","1200179",0,66.7,0,0,33.3,0
"2013","Norte","AC","1200179",57.1,14.3,14.3,7.1,7.1,0.1
"2013","Norte","AC","1200203",33.7,32.7,17.8,6.9,8.9,0
"2013","Norte","AC","1200203",6.1,54.5,18.2,6.1,15.1,0
"2013","Norte","AC","1200203",47.1,22.1,17.6,7.4,5.8,0
"2013","Norte","AC","1200252",57.1,42.9,0,0,0,0
"2013","Norte","AC","1200252",0,100,0,0,0,0
"2013","Norte","AC","1200252",92.3,7.7,0,0,0,0
"2013","Norte","AC","1200302",70.4,7.1,16.3,4.1,2,0.1
"2013","Norte","AC","1200302",0,66.7,0,0,33.3,0
"2013","Norte","AC","1200302",75,3.3,17.4,4.3,0,0
"2013","Norte","AC","1200328",6.3,3.2,90.5,0,0,0
"2013","Norte","AC","1200328",0,33.3,66.7,0,0,0
"2013","Norte","AC","1200328",6.7,1.7,91.6,0,0,0
"2013","Norte","AC","1200336",26.3,26.3,21.1,5.3,21,0
"2013","Norte","AC","1200336",16.7,58.3,25,0,0,0
"2013","Norte","AC","1200336",30.8,11.5,19.2,7.7,30.8,0
"2013","Norte","AC","1200344",55.6,25.9,7.4,7.4,3.7,0
"2013","Norte","AC","1200344",0,80,0,0,20,0
"2013","Norte","AC","1200344",68.2,13.6,9.1,9.1,0,0
"2013","Norte","AC","1200351",40.8,21.1,22.4,10.5,5.2,0
"2013","Norte","AC","1200351",0,80,0,0,20,0
"2013","Norte","AC","1200351",43.7,16.9,23.9,11.3,4.2,0
"2013","Norte","AC","1200385",0,42.1,5.3,15.8,36.8,0
"2013","Norte","AC","1200385",0,50,16.7,16.7,16.6,0
"2013","Norte","AC","1200385",0,38.5,0,15.4,46.1,0
"2013","Norte","AC","1200393",39.5,15.8,31.6,7.9,5.2,0
"2013","Norte","AC","1200393",0,50,0,0,50,0
"2013","Norte","AC","1200393",41.7,13.9,33.3,8.3,2.8,0
"2013","Norte","AC","1200401",9.7,63.9,8.3,4.2,13.9,0
"2013","Norte","AC","1200401",3.5,75.4,8.8,0,12.3,0
"2013","Norte","AC","1200401",33.3,20,6.7,20,20,0
"2013","Norte","AC","1200427",12.2,8.2,24.5,18.4,36.7,0
"2013","Norte","AC","1200427",0,50,0,16.7,33.3,0
"2013","Norte","AC","1200427",14,2.3,27.9,18.6,37.2,0
"2013","Norte","AC","1200435",45.2,11.9,40.5,0,2.4,0
"2013","Norte","AC","1200435",0,66.7,0,0,33.3,0
"2013","Norte","AC","1200435",48.7,7.7,43.6,0,0,0
"2013","Norte","AC","1200450",5.9,47.1,0,5.9,35.3,5.8
"2013","Norte","AC","1200450",10,60,0,0,30,0
"2013","Norte","AC","1200450",0,28.6,0,14.3,42.9,14.2
"2013","Norte","AC","1200500",52.2,7.8,33.3,2.2,4.4,0.1
"2013","Norte","AC","1200500",7.7,53.8,7.7,15.4,15.4,0
"2013","Norte","AC","1200500",59.7,0,37.7,0,2.6,0
"2013","Norte","AC","1200609",38.3,17,17,8.5,10.6,8.6
"2013","Norte","AC","1200609",12.5,37.5,0,0,12.5,37.5
"2013","Norte","AC","1200609",43.6,12.8,20.5,10.3,10.3,2.5
"2013","Norte","AC","1200708",56.3,9.4,21.9,12.4,0,0
"2013","Norte","AC","1200708",50,33.3,16.7,0,0,0
"2013","Norte","AC","1200708",57.7,3.8,23.1,15.4,0,0
"2013","Norte","AC","1200807",60,36,4,0,0,0
"2013","Norte","AC","1200807",0,100,0,0,0,0
"2013","Norte","AC","1200807",65.2,30.4,4.3,0,0,0.1
"2013","Norte","AM","1300029",14,12,8,38,28,0
"2013","Norte","AM","1300029",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1300029",14.9,10.6,6.4,40.4,27.7,0
"2013","Norte","AM","1300060",28,32,40,0,0,0
"2013","Norte","AM","1300060",0,66.7,33.3,0,0,0
"2013","Norte","AM","1300060",31.8,27.3,40.9,0,0,0
"2013","Norte","AM","1300086",13.6,50,31.8,4.5,0,0.1
"2013","Norte","AM","1300086",0,0,50,50,0,0
"2013","Norte","AM","1300086",15,55,30,0,0,0
"2013","Norte","AM","1300102",45.8,8.3,37.5,0,8.3,0.1
"2013","Norte","AM","1300102",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1300102",52.4,4.8,38.1,0,4.7,0
"2013","Norte","AM","1300144",42.9,42.9,7.1,0,7.1,0
"2013","Norte","AM","1300144",0,100,0,0,0,0
"2013","Norte","AM","1300144",50,33.3,8.3,0,8.3,0.1
"2013","Norte","AM","1300201",5.4,14.3,35.7,19.6,25,0
"2013","Norte","AM","1300201",0,50,0,0,50,0
"2013","Norte","AM","1300201",5.6,13,37,20.4,24,0
"2013","Norte","AM","1300300",18.2,34.1,18.2,11.4,9.1,9
"2013","Norte","AM","1300300",0,50,50,0,0,0
"2013","Norte","AM","1300300",19,33.3,16.7,11.9,9.5,9.6
"2013","Norte","AM","1300409",35.6,24.4,4.4,22.2,13.3,0.1
"2013","Norte","AM","1300409",0,100,0,0,0,0
"2013","Norte","AM","1300409",40,15,5,25,15,0
"2013","Norte","AM","1300508",32.6,18.5,16.3,16.3,15.2,1.1
"2013","Norte","AM","1300508",0,50,0,0,0,50
"2013","Norte","AM","1300508",33.3,17.8,16.7,16.7,15.5,0
"2013","Norte","AM","1300607",29.8,26.3,24.6,1.8,12.3,5.2
"2013","Norte","AM","1300607",0,16.7,50,0,33.3,0
"2013","Norte","AM","1300607",33.3,27.5,21.6,2,9.8,5.8
"2013","Norte","AM","1300631",18.1,8.3,13.9,23.6,30.6,5.5
"2013","Norte","AM","1300631",0,0,0,33.3,66.7,0
"2013","Norte","AM","1300631",18.8,8.7,14.5,23.2,29,5.8
"2013","Norte","AM","1300680",29.8,6.4,55.3,4.3,4.2,0
"2013","Norte","AM","1300680",33.3,66.7,0,0,0,0
"2013","Norte","AM","1300680",29.5,2.3,59.1,4.5,4.5,0.1
"2013","Norte","AM","1300706",10.4,27.4,57.5,0.9,3.8,0
"2013","Norte","AM","1300706",0,40,30,10,20,0
"2013","Norte","AM","1300706",11.5,26,60.4,0,2.1,0
"2013","Norte","AM","1300805",65.3,13.3,10.7,2.7,6.7,1.3
"2013","Norte","AM","1300805",14.3,28.6,28.6,0,14.3,14.2
"2013","Norte","AM","1300805",67.8,12.6,9.8,2.8,6.3,0.7
"2013","Norte","AM","1300839",58,6,20,10,6,0
"2013","Norte","AM","1300839",0,50,0,0,50,0
"2013","Norte","AM","1300839",60.4,4.2,20.8,10.4,4.2,0
"2013","Norte","AM","1300904",54.8,9.5,9.5,16.7,9.5,0
"2013","Norte","AM","1300904",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1300904",59,7.7,7.7,17.9,7.7,0
"2013","Norte","AM","1301001",7.8,29.4,31.4,9.8,21.6,0
"2013","Norte","AM","1301001",9.1,54.5,18.2,0,18.2,0
"2013","Norte","AM","1301001",7.5,22.5,35,12.5,22.5,0
"2013","Norte","AM","1301100",30.2,11.6,48.8,2.3,7,0.1
"2013","Norte","AM","1301100",20,40,0,20,20,0
"2013","Norte","AM","1301100",31.6,7.9,55.3,0,5.2,0
"2013","Norte","AM","1301159",34.8,28.3,19.6,4.3,10.9,2.1
"2013","Norte","AM","1301159",33.3,33.3,0,0,0,33.4
"2013","Norte","AM","1301159",34.9,27.9,20.9,4.7,11.6,0
"2013","Norte","AM","1301209",44,6,31.3,2.4,16.3,0
"2013","Norte","AM","1301209",0,63.6,0,0,36.4,0
"2013","Norte","AM","1301209",47.1,1.9,33.5,2.6,14.8,0.1
"2013","Norte","AM","1301308",29.2,18.8,45.8,4.2,2,0
"2013","Norte","AM","1301308",0,85.7,0,14.3,0,0
"2013","Norte","AM","1301308",34.1,7.3,53.7,2.4,2.4,0.1
"2013","Norte","AM","1301407",23.1,17.9,30.8,10.3,17.9,0
"2013","Norte","AM","1301407",0,28.6,7.1,21.4,42.9,0
"2013","Norte","AM","1301407",36,12,44,4,4,0
"2013","Norte","AM","1301506",62.7,19.6,11.8,0,3.9,2
"2013","Norte","AM","1301506",0,57.1,0,0,28.6,14.3
"2013","Norte","AM","1301506",72.7,13.6,13.6,0,0,0.1
"2013","Norte","AM","1301605",2,2,6.1,12.2,73.5,4.2
"2013","Norte","AM","1301605",0,0,33.3,0,0,66.7
"2013","Norte","AM","1301605",2.2,2.2,4.3,13,78.3,0
"2013","Norte","AM","1301654",62.3,32.8,1.6,1.6,1.6,0.1
"2013","Norte","AM","1301654",0,100,0,0,0,0
"2013","Norte","AM","1301654",67.9,26.8,1.8,1.8,1.7,0
"2013","Norte","AM","1301704",41.1,22.1,22.1,8.4,6.3,0
"2013","Norte","AM","1301704",0,33.3,33.3,0,33.3,0.1
"2013","Norte","AM","1301704",45.3,20.9,20.9,9.3,3.5,0.1
"2013","Norte","AM","1301803",75.6,17.1,0,0,7.3,0
"2013","Norte","AM","1301803",0,80,0,0,20,0
"2013","Norte","AM","1301803",86.1,8.3,0,0,5.6,0
"2013","Norte","AM","1301852",13.8,9.2,18.5,12.3,36.9,9.3
"2013","Norte","AM","1301852",0,14.3,0,14.3,57.1,14.3
"2013","Norte","AM","1301852",15.5,8.6,20.7,12.1,34.5,8.6
"2013","Norte","AM","1301902",27.3,10.2,31.3,10.9,15.6,4.7
"2013","Norte","AM","1301902",0,26.7,33.3,0,20,20
"2013","Norte","AM","1301902",31,8,31,12.4,15,2.6
"2013","Norte","AM","1301951",9.1,20.5,27.3,22.7,20.4,0
"2013","Norte","AM","1301951",0,50,25,0,25,0
"2013","Norte","AM","1301951",10,17.5,27.5,25,20,0
"2013","Norte","AM","1302009",62.5,0,29.2,0,8.3,0
"2013","Norte","AM","1302009",33.3,0,33.3,0,33.3,0.1
"2013","Norte","AM","1302009",66.7,0,28.6,0,4.7,0
"2013","Norte","AM","1302108",0,6.1,3,42.4,48.5,0
"2013","Norte","AM","1302108",0,50,0,0,50,0
"2013","Norte","AM","1302108",0,3.2,3.2,45.2,48.4,0
"2013","Norte","AM","1302207",2.9,60,2.9,11.4,22.8,0
"2013","Norte","AM","1302207",0,50,0,0,50,0
"2013","Norte","AM","1302207",3,60.6,3,12.1,21.2,0.1
"2013","Norte","AM","1302306",25.8,20.4,8.6,30.1,15.1,0
"2013","Norte","AM","1302306",0,20,40,0,40,0
"2013","Norte","AM","1302306",27.3,20.5,6.8,31.8,13.6,0
"2013","Norte","AM","1302405",34.7,9.3,42,6.7,7.3,0
"2013","Norte","AM","1302405",0,80,0,0,20,0
"2013","Norte","AM","1302405",37.1,4.3,45,7.1,6.4,0.1
"2013","Norte","AM","1302504",57.7,17.4,12.8,1.3,10.1,0.7
"2013","Norte","AM","1302504",8.3,66.7,0,0,25,0
"2013","Norte","AM","1302504",62,13.1,13.9,1.5,8.8,0.7
"2013","Norte","AM","1302553",13.5,40.5,24.3,18.9,2.7,0.1
"2013","Norte","AM","1302553",0,25,25,50,0,0
"2013","Norte","AM","1302553",15.2,42.4,24.2,15.2,3,0
"2013","Norte","AM","1302603",2.6,53.3,17.7,6.7,14,5.7
