"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2017","Norte","RO","1100015",35.3,41.2,23.5,0,0,0
"2017","Norte","RO","1100015",11.1,55.6,33.3,0,0,0
"2017","Norte","RO","1100015",62.5,25,12.5,0,0,0
"2017","Norte","RO","1100023",3.8,23.1,42.3,7.7,15.4,7.7
"2017","Norte","RO","1100023",5.3,31.6,31.6,10.5,21,0
"2017","Norte","RO","1100023",0,0,71.4,0,0,28.6
"2017","Norte","RO","1100031",75,0,25,0,0,0
"2017","Norte","RO","1100031",75,0,25,0,0,0
"2017","Norte","RO","1100049",0,66.7,33.3,0,0,0
"2017","Norte","RO","1100049",0,71.4,28.6,0,0,0
"2017","Norte","RO","1100049",0,60,40,0,0,0
"2017","Norte","RO","1100056",44.4,33.3,22.3,0,0,0
"2017","Norte","RO","1100056",28.6,42.9,28.5,0,0,0
"2017","Norte","RO","1100056",100,0,0,0,0,0
"2017","Norte","RO","1100064",0,100,0,0,0,0
"2017","Norte","RO","1100064",0,100,0,0,0,0
"2017","Norte","RO","1100064",0,100,0,0,0,0
"2017","Norte","RO","1100072",20,60,20,0,0,0
"2017","Norte","RO","1100072",50,50,0,0,0,0
"2017","Norte","RO","1100072",0,66.7,33.3,0,0,0
"2017","Norte","RO","1100080",0,90,0,10,0,0
"2017","Norte","RO","1100080",0,100,0,0,0,0
"2017","Norte","RO","1100080",0,66.7,0,33.3,0,0
"2017","Norte","RO","1100098",10,30,60,0,0,0
"2017","Norte","RO","1100098",0,40,60,0,0,0
"2017","Norte","RO","1100098",20,20,60,0,0,0
"2017","Norte","RO","1100106",40.9,18.2,31.8,0,9.1,0
"2017","Norte","RO","1100106",8.3,25,58.3,0,8.4,0
"2017","Norte","RO","1100106",80,10,0,0,10,0
"2017","Norte","RO","1100114",0,52.6,31.6,5.3,10.5,0
"2017","Norte","RO","1100114",0,75,8.3,0,16.7,0
"2017","Norte","RO","1100114",0,14.3,71.4,14.3,0,0
"2017","Norte","RO","1100122",13.8,62.1,13.8,0,10.3,0
"2017","Norte","RO","1100122",15,70,0,0,15,0
"2017","Norte","RO","1100122",11.1,44.4,44.5,0,0,0
"2017","Norte","RO","1100130",30.4,47.8,17.4,4.4,0,0
"2017","Norte","RO","1100130",14.3,71.4,14.3,0,0,0
"2017","Norte","RO","1100130",37.5,37.5,18.8,6.2,0,0
"2017","Norte","RO","1100148",0,16.7,83.3,0,0,0
"2017","Norte","RO","1100148",0,33.3,66.7,0,0,0
